,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,service,tunnel,area
9933,4636793707,4636793708,0,590331537,True,2,T4 Way,secondary,50,19.439,"LINESTRING (103.9835184 1.3440615, 103.9835353 1.3438875)",,,,,,,
9934,4636793708,4636793709,0,590331537,True,2,T4 Way,secondary,50,10.708,"LINESTRING (103.9835353 1.3438875, 103.9835361 1.3437912)",,,,,,,
9935,4636793709,5150311487,0,590331537,True,2,T4 Way,secondary,50,9.79,"LINESTRING (103.9835361 1.3437912, 103.9835412 1.3437033)",,,,,,,
9936,4636793710,5150163432,0,539096211,True,2,T4 Way,secondary,50,10.578,"LINESTRING (103.9835082 1.3434403, 103.9834768 1.3433505)",,,,,,,
9937,4636823109,4746796921,0,469333090,True,1,,trunk_link,50,27.156,"LINESTRING (103.9834486 1.3446369, 103.9834709 1.3443937)",,,,,,,
9938,4638014681,2232612080,0,469498326,True,4,Pasir Ris Drive 1,primary,60,63.805,"LINESTRING (103.9637081 1.3640434, 103.9641267 1.3636508)",,,,,,,
9939,4638516246,6991306164,0,166327060,True,2,T2 Departure Drive,secondary,50,10.538,"LINESTRING (103.9854141 1.3493956, 103.9853489 1.3493268)",,,,,,,
9940,4638586854,2232612070,0,469560068,True,4,Loyang Avenue,primary,70,69.423,"LINESTRING (103.9636219 1.3627929, 103.9640489 1.3632485)",,,,,,,
9941,4638905057,522420843,0,518683067,True,4,Loyang Avenue,primary,70,16.153,"LINESTRING (103.962548 1.3614747, 103.9624379 1.3613799)",,,,,,,
9942,4643532441,4643532445,0,480231139,True,4,North Bridge Road,secondary,50,3.529,"LINESTRING (103.8560806 1.2991136, 103.8560617 1.2990881)",,,,,,,
9943,4643532445,4755817425,0,639423700,True,4,North Bridge Road,secondary,50,28.093,"LINESTRING (103.8560617 1.2990881, 103.8559114 1.298885)",,,,,,,
9944,4643559886,3319117380,0,654997378,True,3,Marine Parade Road,primary,60,46.982,"LINESTRING (103.9043659 1.3023762, 103.9040296 1.3021203)",,,,,,,
9945,4644981014,1820138108,0,470295986,True,4,Pasir Ris Drive 1,primary,60,57.963,"LINESTRING (103.935016 1.3793674, 103.9345868 1.3796634)",,,,,,,
9946,4644995440,206089794,0,537933588,True,,Pasir Ris Drive 3,primary,60,11.879,"LINESTRING (103.9395429 1.3815104, 103.9396177 1.3814341)",,,,,,,
9947,4644995449,7232153117,0,175959510,True,2,Pasir Ris Drive 3,primary,60,4.473,"LINESTRING (103.9394837 1.3814182, 103.939457 1.3814483)",,,,,,,
9948,4645667044,1820101150,0,470363491,True,5,Pasir Ris Drive 12,primary,60,11.789,"LINESTRING (103.9337868 1.3792585, 103.9338452 1.379347)",,,,,,,
