,y,x,osmid,ref,railway,geometry
411686461,1.3983023,103.9181126,411686461,,,POINT (103.9181126 1.3983023)
411686462,1.397897,103.9182295,411686462,,,POINT (103.9182295 1.397897)
411686463,1.3971922,103.9180297,411686463,,,POINT (103.9180297 1.3971922)
411686465,1.3955824,103.9168808,411686465,,,POINT (103.9168808 1.3955824)
411686466,1.3935569,103.9154338,411686466,,,POINT (103.9154338 1.3935569)
411686467,1.3932937,103.9152343,411686467,,,POINT (103.9152343 1.3932937)
411686468,1.3927676,103.9144904,411686468,,,POINT (103.9144904 1.3927676)
411686469,1.3928185,103.9140083,411686469,,,POINT (103.9140083 1.3928185)
411686567,1.3928108,103.9146511,411686567,,,POINT (103.9146511 1.3928108)
411686774,1.3927763,103.914161,411686774,,,POINT (103.914161 1.3927763)
411686901,1.3929112,103.9148481,411686901,,,POINT (103.9148481 1.3929112)
1167584060,1.4164667,103.90727,1167584060,,,POINT (103.90727 1.4164667)
1167584063,1.4161796,103.9075546,1167584063,,,POINT (103.9075546 1.4161796)
1167584068,1.4158375,103.9077253,1167584068,,,POINT (103.9077253 1.4158375)
1167584069,1.4149117,103.9076678,1167584069,,,POINT (103.9076678 1.4149117)
1712357001,1.4157357,103.9020426,1712357001,,,POINT (103.9020426 1.4157357)
1712357030,1.4166081,103.9070567,1712357030,,,POINT (103.9070567 1.4166081)
1712357040,1.4167243,103.9067832,1712357040,,,POINT (103.9067832 1.4167243)
1712357076,1.4169197,103.9034466,1712357076,,,POINT (103.9034466 1.4169197)
1712357087,1.4173372,103.905557,1712357087,,,POINT (103.905557 1.4173372)
1712357089,1.4171543,103.903832,1712357089,,,POINT (103.903832 1.4171543)
1712357091,1.4174585,103.9050871,1712357091,,,POINT (103.9050871 1.4174585)
1712357092,1.4174562,103.9046569,1712357092,,,POINT (103.9046569 1.4174562)
1748996469,1.4119288,103.9004651,1748996469,,,POINT (103.9004651 1.4119288)
1748996475,1.4124985,103.9007162,1748996475,,,POINT (103.9007162 1.4124985)
1839721776,1.3939512,103.9124907,1839721776,,,POINT (103.9124907 1.3939512)
1839721781,1.3993194,103.9059813,1839721781,,,POINT (103.9059813 1.3993194)
1839721787,1.4046995,103.9094083,1839721787,,,POINT (103.9094083 1.4046995)
1839721821,1.3995518,103.9166075,1839721821,,,POINT (103.9166075 1.3995518)
1839721834,1.3970511,103.9087405,1839721834,,,POINT (103.9087405 1.3970511)
1839721875,1.4169003,103.906453,1839721875,,,POINT (103.906453 1.4169003)
1839721882,1.3949867,103.9164862,1839721882,,,POINT (103.9164862 1.3949867)
1839721918,1.4087819,103.8987198,1839721918,,,POINT (103.8987198 1.4087819)
1839721922,1.4127369,103.9065795,1839721922,,,POINT (103.9065795 1.4127369)
1839722275,1.3976465,103.9182171,1839722275,,,POINT (103.9182171 1.3976465)
1839722276,1.3981218,103.9181859,1839722276,,,POINT (103.9181859 1.3981218)
1839722277,1.3984476,103.9180155,1839722277,,,POINT (103.9180155 1.3984476)
1839722278,1.3985882,103.9178844,1839722278,,,POINT (103.9178844 1.3985882)
1839722279,1.3987486,103.9176878,1839722279,,,POINT (103.9176878 1.3987486)
1839722280,1.4036187,103.897014,1839722280,,,POINT (103.897014 1.4036187)
1840734578,1.3939318,103.9125723,1840734578,PE3,station,POINT (103.9125723 1.3939318)
1840734592,1.3994603,103.9058059,1840734592,PE1,station,POINT (103.9058059 1.3994603)
1840734593,1.4052523,103.9085982,1840734593,PE7,station,POINT (103.9085982 1.4052523)
1840734594,1.399601,103.9164448,1840734594,PE5,station,POINT (103.9164448 1.399601)
1840734597,1.3969357,103.9088889,1840734597,PE2,station,POINT (103.9088889 1.3969357)
1840734598,1.4118877,103.9003304,1840734598,PW5,station,POINT (103.9003304 1.4118877)
1840734599,1.4022823,103.9127329,1840734599,PE6,station,POINT (103.9127329 1.4022823)
1840734600,1.4168814,103.9066298,1840734600,PW3,station,POINT (103.9066298 1.4168814)
