,u,v,key,osmid,bridge,oneway,length,geometry
560,2274885014,2274885012,0,173144836,yes,False,22.898,"LINESTRING (103.904857 1.4175123, 103.9050626 1.4174997)"
561,2274885014,2274885011,0,173144836,yes,False,24.797,"LINESTRING (103.904857 1.4175123, 103.9046345 1.4174963)"
562,4285849806,2274884353,0,218215447,yes,False,32.106,"LINESTRING (103.9083654 1.4053673, 103.9081329 1.4055386)"
563,4285849806,2274884054,0,218215447,yes,False,54.942,"LINESTRING (103.9083654 1.4053673, 103.9087633 1.4050742)"
564,4946665704,5379987383,0,173144836,yes,False,12.734,"LINESTRING (103.9062269 1.4171133, 103.9061235 1.4171626)"
565,4946665704,5843925904,0,601849934,yes,False,22.622,"LINESTRING (103.9062269 1.4171133, 103.9064079 1.4170203)"
566,5379987371,5379987376,0,173144836,yes,False,6.602,"LINESTRING (103.9041423 1.4173628, 103.9041977 1.4173842)"
567,5379987371,2274885001,0,173144836,yes,False,3.303,"LINESTRING (103.9041423 1.4173628, 103.9041162 1.4173486)"
568,5379987376,2274885007,0,173144836,yes,False,24.46,"LINESTRING (103.9041977 1.4173842, 103.9044077 1.4174499)"
569,5379987376,5379987371,0,173144836,yes,False,6.602,"LINESTRING (103.9041977 1.4173842, 103.9041423 1.4173628)"
570,5379987383,4946665704,0,173144836,yes,False,12.734,"LINESTRING (103.9061235 1.4171626, 103.9062269 1.4171133)"
571,5379987383,2274884992,0,173144836,yes,False,14.152,"LINESTRING (103.9061235 1.4171626, 103.9060086 1.4172174)"
572,5435063398,2274884949,0,173144832,yes,False,44.625,"LINESTRING (103.9019784 1.4156687, 103.9017269 1.4153559)"
573,5435063398,1712357001,0,173144832,yes,False,10.317,"LINESTRING (103.9019784 1.4156687, 103.9020426 1.4157357)"
574,5702120063,2085848759,0,173144836,yes,False,19.071,"LINESTRING (103.9003767 1.402178, 103.9002053 1.4021705)"
575,5702120063,411102768,0,173144836,yes,False,7.8,"LINESTRING (103.9003767 1.402178, 103.9004468 1.402181)"
576,5702120064,2274884801,0,218215447,yes,False,11.124,"LINESTRING (103.9039291 1.4074863, 103.9038372 1.4074467)"
577,5702120064,2274884811,0,218215447,yes,False,22.871,"LINESTRING (103.9039291 1.4074863, 103.904118 1.4075678)"
578,5843925904,2274884988,0,601849934,yes,False,10.031,"LINESTRING (103.9064079 1.4170203, 103.9064912 1.4169856)"
579,5843925904,4946665704,0,601849934,yes,False,22.622,"LINESTRING (103.9064079 1.4170203, 103.9062269 1.4171133)"
580,6532012974,2274884868,0,601849934,yes,False,151.947,"LINESTRING (103.9070486 1.4134907, 103.9064437 1.4122653)"
581,6532012974,2274884874,0,601849934,yes,False,128.824,"LINESTRING (103.9070486 1.4134907, 103.9075719 1.4145244)"
582,6532012975,2274884820,0,601849934,yes,False,166.828,"LINESTRING (103.9045758 1.4090893, 103.9038273 1.4077889)"
583,6532012975,2274884858,0,601849934,yes,False,98.783,"LINESTRING (103.9045758 1.4090893, 103.905019 1.4098593)"
584,6532012981,411102763,0,173144832,yes,False,59.208,"LINESTRING (103.9046017 1.4092615, 103.9048658 1.4097239)"
585,6532012981,6532012982,0,173144832,yes,False,33.849,"LINESTRING (103.9046017 1.4092615, 103.9043925 1.4090403)"
586,6532012982,6532012981,0,173144832,yes,False,33.849,"LINESTRING (103.9043925 1.4090403, 103.9046017 1.4092615)"
587,6532012982,6532012983,0,173144832,yes,False,58.97,"LINESTRING (103.9043925 1.4090403, 103.9041367 1.4085757)"
588,6532012983,6532012982,0,173144832,yes,False,58.97,"LINESTRING (103.9041367 1.4085757, 103.9043925 1.4090403)"
