y,x,osmid,highway,address,ref
1.4026915,103.8911448,5015083903,traffic_signals,"Matilda Sundeck, 229B, Sumang Lane, Sengkang, Northeast, 822229, Singapore",
1.3860388,103.895523,391191428,,"Sengkang East Avenue, Sengkang, Northeast, 543205, Singapore",
1.3865795,103.8914423,242998157,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 541281, Singapore",
1.3883102,103.9239208,6091365443,,"Lorong Halus, Punggol, Northeast, 828869, Singapore",
1.388012,103.9239064,6091365444,,"Lorong Halus, Punggol, Northeast, 828869, Singapore",
1.3883685,103.9236795,6091365447,,"Pasir Ris Industrial Drive 1, Punggol, Northeast, 828869, Singapore",
1.3880549,103.9232773,6091365448,,"Lorong Halus, Punggol, Northeast, 828869, Singapore",
1.389137,103.9233415,6091365453,,"Lorong Halus, Punggol, Northeast, 828869, Singapore",
1.3892606,103.9235116,6091365454,,"Lorong Halus, Punggol, Northeast, 828869, Singapore",
1.3891655,103.9240779,6091365459,,"Lorong Halus, Punggol, Northeast, 828869, Singapore",
1.3890287,103.9241488,6091365460,,"Lorong Halus, Punggol, Northeast, 828869, Singapore",
1.3881448,103.9238219,6091365465,,"Pasir Ris Industrial Drive 1, Punggol, Northeast, 828869, Singapore",
1.3879592,103.923405,6091365468,,"Halus Link, Punggol, Northeast, 828869, Singapore",
1.3925142,103.9057898,5921905760,,"Rivervale Crescent, Punggol, Northeast, 540151, Singapore",
1.3984936,103.9131396,2274876548,,"The Amore, 53A, Edgedale Plains, Punggol, Northeast, 821053, Singapore",
1.3869718,103.8998933,375774359,,"226A, Compassvale Walk, Sengkang, Northeast, 541226, Singapore",
1.3985878,103.912406,2274876679,,"Punggol Central, Punggol, Northeast, 820055, Singapore",
1.3960945,103.9030989,5915434249,,"Punggol Road, Punggol, Northeast, 820136, Singapore",
1.3983983,103.9132116,2274876688,,"Edgedale Plains, Punggol, Northeast, 821053, Singapore",
1.3875386,103.9045108,4724595988,,"North Spring Primary School, 1, Rivervale Street, Sengkang, Northeast, 545088, Singapore",
1.3946193,103.8989189,3063323990,,"Compassvale Road, Sengkang, Northeast, 540256, Singapore",
1.3946405,103.8990234,3063324013,,"Compassvale Road, Sengkang, Northeast, 540256, Singapore",
1.386301,103.9016198,375774643,traffic_signals,"Punggol Road, Sengkang, Northeast, 543123, Singapore",
1.3836095,103.9228434,369941952,,"Lorong Halus, Punggol, Northeast, 828869, Singapore",
1.3943457,103.901093,3063324108,,"That Coffee Place, 297C, Compassvale Street, Sengkang, Northeast, 543297, Singapore",
1.399419,103.8958661,242998739,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 542287, Singapore",
1.4060407,103.897594,4004994591,,"Punggol Emerald, 266A, Punggol Way, Punggol, Northeast, 821266, Singapore",
