,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,ref,name,bridge,access,tunnel
53,242941694,1781717288,0,32776686,True,3,secondary,60,12.489,"LINESTRING (103.9033475 1.3965386, 103.9034068 1.396634)",,Punggol Road,,,
54,242941694,1781717290,0,74549055,True,2,motorway_link,50,56.445,"LINESTRING (103.9033475 1.3965386, 103.9029184 1.39681)",,,,,
55,242941719,6181123753,0,74584467,True,2,motorway_link,50,6.01,"LINESTRING (103.9037434 1.3973098, 103.9037879 1.3972791)",,,,,
56,242941719,1781717310,0,582412264,True,2,secondary,60,74.832,"LINESTRING (103.9037434 1.3973098, 103.9040473 1.3979103)",,Punggol Road,,,
57,242948294,369150271,0,479337786,True,3,tertiary,50,17.311,"LINESTRING (103.8939151 1.3867032, 103.8938713 1.3865538)",,Sengkang Central,,,
58,242948294,5952954074,0,630424735,True,2,secondary,50,20.095,"LINESTRING (103.8939151 1.3867032, 103.8940907 1.3866603)",,Sengkang East Avenue,,,
59,242948296,370709629,0,174281623,True,2,tertiary,50,17.616,"LINESTRING (103.8945048 1.3886949, 103.8943542 1.3887442)",,Compassvale Drive,,,
60,242948296,4430972261,0,445716731,True,2,tertiary,50,30.011,"LINESTRING (103.8945048 1.3886949, 103.8944233 1.3884376)",,Sengkang Central,,,
61,242948303,4459074670,0,22652720,True,2,tertiary,50,20.407,"LINESTRING (103.8958003 1.3858153, 103.8958886 1.3859762)",,Compassvale Road,,,
62,242948308,242941536,0,33263088,True,,tertiary,50,10.888,"LINESTRING (103.9016864 1.386198, 103.9015947 1.3862324)",,Compassvale Drive,,,
63,242948308,4459074671,0,448937549,True,2,secondary,60,29.386,"LINESTRING (103.9016864 1.386198, 103.9015893 1.3859522)",,Punggol Road,,,
64,242948445,6112668528,0,448937453,True,2,tertiary,50,71.214,"LINESTRING (103.8982238 1.3874088, 103.8976206 1.3876245)",,Compassvale Drive,,,
65,242948450,3865151153,0,74953817,True,2,tertiary,50,31.017,"LINESTRING (103.896597 1.3879904, 103.8963329 1.3880804)",,Compassvale Drive,,,
66,242948450,370709327,0,74963920,True,3,tertiary,50,9.1,"LINESTRING (103.896597 1.3879904, 103.896623 1.388068)",,Compassvale Road,,,
67,242948451,242948452,0,445716691,True,,tertiary,50,17.465,"LINESTRING (103.892403 1.389433, 103.8922529 1.3894794)",,Compassvale Drive,,,
68,242948451,5278671031,0,445716746,True,3,primary,60,5.954,"LINESTRING (103.892403 1.389433, 103.892388 1.3893816)",,Sengkang East Road,,,
69,242948452,369137905,0,74962078,True,,primary,60,10.349,"LINESTRING (103.8922529 1.3894794, 103.8922832 1.3895674)",,Sengkang East Road,,,
70,242948452,5278671037,0,445716656,True,2,tertiary,50,7.544,"LINESTRING (103.8922529 1.3894794, 103.8921883 1.3895002)",,Anchorvale Drive,,,
